,MLSNumber,Street,City,Price,BR,Bath,Footage
0,1073098,765 Mesa View,Arroyo Grande,234900,3,2,1484.0
1,1073112,765 Mesa View,Arroyo Grande,249900,3,2,1421.0
2,1073104,120 Oak,Arroyo Grande,519000,3,2,1320.0
3,1073089,2050 Oak,Arroyo Grande,1149000,3,2,2291.0
4,1073011,7355 Graves Creek,Atascadero,399950,2,1,1296.0
5,1073107,13800 Santa Lucia,Atascadero,569000,3,2,1656.0
6,1073072,2540 Baseline,Ballard,1295000,3,2,1948.0
7,1073060,46 Cypress Glen,Cayucos,925000,3,3,2018.0
8,1073093,562 Manhattan,Grover Beach,449900,3,3,1450.0
9,1072931,2320 Claranita,Los Osos,650000,3,2,2132.0
10,1073120,5051 Bluebird,Paso Robles,154900,2,2,1105.0
11,1073106,5125 Bluebird,Paso Robles,288000,2,2,1124.0
12,1073115,1033 Par,Paso Robles,499900,3,2,2015.0
13,1073108,3235 Adelaida,Paso Robles,639000,2,1,1139.0
14,1073073,246 Ridge,Pismo Beach,675000,3,2,1425.0
15,1073081,344 Capistrano,Pismo Beach,2295000,3,4,3558.0
16,1073114,9221 Tassajara Creek,Santa Margarita,850000,3,3,1800.0
17,1073090,1520 Swallow,Santa Maria,325000,2,2,1368.0
18,1073127,952 David,Santa Maria,380000,3,2,1198.0
19,1073128,3806 Mira Loma,Santa Maria,389900,3,2,1568.0
20,1073080,1247 Camino Del Robles,Atascadero,235000,3,2,1608.0
21,1073075,7305 San Gabriel,Atascadero,575000,4,4,3005.0
22,1073077,63 Six Flags,Buellton,545000,3,2,1504.0
23,1073070,5176 Guildford,Cambria,527000,3,2,1473.0
24,1073099,4025 Ryan,Creston,675000,3,3,1947.0
25,1073045,1129 3rd,Lompoc,299900,3,2,1621.0
26,1073017,1213 Timothy,Lompoc,325000,3,3,1612.0
27,1073097,559 Mars,Lompoc,329900,3,2,1232.0
28,1073071,2905 Alta,Los Olivos,925000,3,4,2132.0
29,1073083,1606 Mackinnon,Out Of Area,1325000,4,3,1934.0
