MLSNumber, Street, City, BR, Bath, Footage, Price, PriceSqFt, County, Zone, Source, Date, URL
1072327, 629 Northbrook, Lompoc, 3, 3, 1652, 370000, 223.97094430992735, SB, 0, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072327
1072320, 1249 Westbrook, Lompoc, 3, 2, 1791, 389000, 217.19709659408153, SB, 0, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072320
1072319, 247 Brisa Del Mar, Lompoc, 3, 2, 2360, 518000, 219.4915254237288, SB, 0, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072319
1072317, 2760 Cedar, Morro Bay, 2, 2, 976, 550000, 563.5245901639345, SLO, 1, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072317
1072288, 1007 Jacqueline, Nipomo, 3, 3, 2325, 699900, 301.03225806451616, SLO, 0, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072288
1072323, 2531 Cienaga, Oceano, 2, 1, 720, 159000, 220.83333333333334, SLO, 2, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072323
1072325, 610 Sunrise, Santa Maria, 2, 2, 1129, 250000, 221.43489813994685, SB, 0, 0, October 23, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072325
1072316, 765 Mesa View, Arroyo Grande, 4, 2, 1560, 197500, 126.6025641025641, SLO, 2, 0, October 22, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072316
1072231, 9900 Carmelita, Atascadero, 3, 3, 2253, 874900, 388.3266755437195, SLO, 3, 0, October 22, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072231
1072312, 1009 Walnut, Lompoc, 2, 2, 935, 165000, 176.47058823529412, SB, 0, 0, October 22, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072312
1072290, 1057 Armstrong, Lompoc, 3, 2, 1247, 379900, 304.6511627906977, SB, 0, 0, October 22, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072290
1072314, 932 Jacqueline, Nipomo, 3, 3, 2703, 794900, 294.0806511283759, SLO, 0, 0, October 22, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072314
1072309, 849 Vista Del Sol, Santa Maria, 2, 2, 1248, 65000, 52.083333333333336, SB, 0, 0, October 22, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072309
