,MLSNumber,Street,City,Price,BR,Bath,Footage,PricePerSqft,Zipcode
0,1071105,851 Tabitha,Santa Maria,421000,4,3,1877.0,224.2940863079382,93454
1,1071787,1609 Longbranch,Grover Beach,364900,3,3,1499.0,243.42895263509007,93433
2,1067012,7115 San Gregorio,Atascadero,589000,3,3,2280.0,258.3333333333333,93422
3,1071109,205 Newlove,Santa Maria,199999,2,1,1190.0,168.06638655462186,93454
4,1071111,310 McCoy,Santa Maria,239900,2,2,1130.0,212.30088495575222,93455
5,1071113,2251 Shell Beach,Pismo Beach,715000,3,2,1282.0,557.7223088923557,93449
6,1071126,245 5th,Solvang,350000,2,2,1316.0,265.9574468085106,93463
8,1067876,1430 Florette,Santa Maria,469000,3,2,2308.0,203.20623916811093,93455
9,1071627,719 Jacob,Santa Maria,455000,3,2,2120.0,214.62264150943398,93455
10,1071137,1021 Wailea,Nipomo,599000,2,2,1690.0,354.4378698224852,93444
11,1069090,716 Balboa,Grover Beach,659900,3,2,2020.0,326.6831683168317,93433
12,1071141,1807 Costa Brava,Pismo Beach,895000,3,3,1749.0,511.7209834190966,93449
13,1069095,873 Via Seco,Nipomo,829000,3,3,2424.0,341.996699669967,93444
14,1065001,361 Hacienda,Cayucos,549000,2,2,1480.0,370.94594594594594,93430
15,1072956,1466 Durham,Santa Maria,377017,3,3,1685.0,223.74896142433235,93117
16,1065022,2078 Fixlini,San Luis Obispo,1285000,3,3,3042.0,422.41946088099934,93401
17,1071167,77 Alta Vista,Solvang,259000,2,2,1344.0,192.70833333333334,93463
18,1069514,2020 Oak,Paso Robles,357900,2,1,824.0,434.34466019417476,93446
19,1071169,1009 Belmonte,Santa Barbara,975000,3,2,1751.0,556.8246716162193,93458
20,1067074,172 Highland,San Luis Obispo,939000,4,3,2266.0,414.3865842894969,93405
21,1073147,1343 Amarone,Santa Maria,329500,3,2,1206.0,273.2172470978441,93458
22,1071176,1277 Belridge,Oceano,298500,2,3,1086.0,274.8618784530387,93445
23,1071178,9414 Santa Clara,Atascadero,710000,4,3,2754.0,257.8068264342774,93422
24,1071799,561 Park,Cayucos,1100000,3,3,1674.0,657.1087216248507,93430
25,1067362,3351 Riparian Way,Paso Robles,389000,4,3,1993.0,195.18314099347717,93446
26,1071184,1112 Devonshire,Santa Maria,89900,2,2,1600.0,56.1875,93455
27,1069137,2349 Eastbury,Santa Maria,349900,3,3,1896.0,184.54641350210971,93455
28,1071186,1476 Trail View,Nipomo,729000,2,2,1734.0,420.4152249134948,93444
29,1071697,2250 King,San Luis Obispo,449900,2,2,1256.0,358.20063694267515,93401
30,1071191,770 Viola,Nipomo,469900,3,2,1482.0,317.0715249662618,93444
31,1073061,4286 Brentwood,Santa Maria,399900,3,2,1896.0,210.91772151898735,93455
32,1071198,1182 Shady Glen,Santa Maria,420000,3,3,1552.0,270.6185567010309,93455
33,1065058,1017 La Serenata,Nipomo,739500,4,3,2779.0,266.1029147175243,93444
34,1067107,3711 Cutler,Visalia,179465,3,2,1594.0,112.58782936010037,93277
35,1071206,122 Newport,Grover Beach,585900,3,3,1750.0,334.8,93433
36,1067112,868 Coriander,San Luis Obispo,607833,4,4,2150.0,282.71302325581394,93401
37,1069757,3074 Cielo Grande,Atascadero,775000,5,4,3120.0,248.39743589743588,93422
38,1073130,2410 Divide,Santa Maria,349000,3,2,1555.0,224.43729903536976,93458
39,1067123,8825 San Marcos,Atascadero,488000,4,3,1355.0,360.14760147601476,93422
40,1071226,2725 Ardath,Cambria,459000,2,2,1443.0,318.08731808731807,93428
41,1070101,1432 Las Encinas,Los Osos,789000,4,3,3128.0,252.2378516624041,93402
42,1072926,1531 Penn,Santa Maria,436675,4,4,2174.0,200.86246550137994,93454
43,1069189,310 McCoy,Santa Maria,222500,2,2,1130.0,196.90265486725664,93455
44,1071240,3496 Gregory,San Luis Obispo,629900,3,2,1204.0,523.172757475083,93401
45,1071241,454 Yerba Buena,Morro Bay,569000,2,2,942.0,604.0339702760085,93442
46,1071250,770 Princess,Nipomo,458800,3,2,1561.0,293.9141575912876,93444
47,1068153,1291 16th,Grover Beach,419900,4,3,2321.0,180.9133993968117,93433
48,1061016,32968 Indian Reservation,Porterville,334500,3,3,3100.0,107.90322580645162,93257
49,1073093,562 Manhattan,Grover Beach,449900,3,3,1450.0,310.2758620689655,93433
50,1070199,7305 San Gabriel,Atascadero,619000,4,4,3005.0,205.99001663893512,93422
51,1071260,169 Meadowbrook,Santa Maria,384900,2,2,2170.0,177.3732718894009,93455
52,1071261,1068 Pluto,Nipomo,225000,4,2,1344.0,167.41071428571428,93444
53,1071262,1220 Baden,Grover Beach,299000,2,2,1051.0,284.4909609895338,93433
54,1070899,567 Bluerock,San Luis Obispo,669900,3,2,1543.0,434.1542449773169,93401
55,1071472,326 Panay,Morro Bay,749900,3,3,1500.0,499.93333333333334,93442
56,1071266,979 Vista Cerro,Paso Robles,639000,4,3,2392.0,267.1404682274248,93446
57,1071473,395 Surf,Morro Bay,350000,2,1,1154.0,303.29289428076254,93442
58,1071274,3421 Studio,Cayucos,1049000,2,2,1352.0,775.887573964497,93430
59,1071815,5275 Morning Star,Paso Robles,499000,3,2,1951.0,255.7662737057919,93446
60,1065133,3340 Studio,Cayucos,3250000,2,3,1100.0,2954.5454545454545,93430
61,1063089,4096 Dartmouth,Santa Maria,349500,3,2,1638.0,213.36996336996336,93455
62,1063090,78 Bundy,Buellton,418000,3,2,1211.0,345.16928158546654,93427
63,1071284,491 Tahiti,Morro Bay,305000,2,2,842.0,362.23277909738715,93442
64,1073025,940 Refugio,Santa Ynez,795000,3,2,1892.0,420.19027484143766,93460
65,1071289,312 Rainbow,Paso Robles,449500,3,2,1588.0,283.0604534005038,93446
66,1071290,1168 Mentone,Grover Beach,560000,5,3,2340.0,239.31623931623932,93433
67,1071818,669 Rosemary,Arroyo Grande,1375000,4,4,3234.0,425.1700680272109,93420
68,1067198,4650 Blue Sage,Paso Robles,1599000,4,5,4577.0,349.35547301726024,93446
69,1071295,1006 Vista Grande,Paso Robles,599900,5,3,3227.0,185.9002169197397,93446
71,1065153,1247 Hans Park,Solvang,799900,3,3,2168.0,368.95756457564573,93463
72,1069252,1598 Stuart,Cambria,559000,3,2,1405.0,397.864768683274,93428
73,1071301,5145 Caballeros,San Luis Obispo,1295000,4,3,2804.0,461.8402282453638,93401
74,1071302,2919 Cottage,Paso Robles,375000,3,3,1481.0,253.20729237002027,93446
75,1071306,1639 Summer Creek,Paso Robles,398500,3,2,1430.0,278.6713286713287,93446
76,1071308,860 Sunshine,Santa Maria,445000,3,2,1818.0,244.77447744774477,93455
77,1067213,5240 Oakhurst,Cambria,599000,4,3,2080.0,287.9807692307692,93428
78,1067214,727 Red Cloud,Paso Robles,679000,4,3,3000.0,226.33333333333334,93446
79,1071313,932 Ridge View,Santa Maria,119900,2,2,1176.0,101.95578231292517,93455
80,1067220,80 Sandalwood,Solvang,675000,3,3,2524.0,267.43264659271,93463
81,1071321,390 San Luis,Pismo Beach,825000,3,4,1566.0,526.8199233716475,93449
82,1071323,180 3rd,Shandon,270000,4,3,1596.0,169.17293233082708,93461
83,1071325,1647 McCollum,San Luis Obispo,849000,3,2,1395.0,608.6021505376344,93405
84,1071327,4191 Morning Ridge,Santa Maria,359900,3,2,1304.0,275.99693251533745,93455
85,1071497,484 Ash,Los Osos,535000,2,2,1674.0,319.5937873357228,93402
86,1071329,6345 Marchant,Atascadero,309900,1,1,816.0,379.77941176470586,93422
87,1065196,1015 Ladan,Ballard,3345000,5,7,6215.0,538.2139983909896,93463
88,1073066,2240 Diesel,Santa Maria,399950,4,3,1822.0,219.51152579582876,93458
89,1070120,110 Narlene,Pismo Beach,623900,3,3,1479.0,421.8390804597701,93449
90,1071634,1323 23rd,Oceano,539000,4,2,1817.0,296.64281783159055,93445
91,1070121,2300 Arciero,Paso Robles,439000,3,2,1477.0,297.2241029113067,93446
92,1071352,884 Blake,Santa Maria,498500,3,3,2186.0,228.04208600182983,93455
93,1071354,3860 Higuera,San Luis Obispo,75000,2,1,800.0,93.75,93401
94,1071356,474 Yerba Buena,Morro Bay,379000,1,1,720.0,526.3888888888889,93442
95,1071361,5388 Barrenda,Atascadero,399900,3,3,1528.0,261.71465968586386,93422
96,1055745,3126 Shearer,Cayucos,749000,3,2,1700.0,440.5882352941176,93430
97,1069319,1502 Goldsmith,Santa Maria,789000,4,4,4118.0,191.59786304031084,93454
98,1071989,971 Rachel,San Luis Obispo,856024,2,3,1775.0,482.26704225352114,93401
99,1070271,1460 25th,Oceano,489990,3,2,1583.0,309.53253316487684,93445
